conversation_id,persona_id,persona_name,persona_group,persona_volatility,num_turns,avg_drift,total_distance,drift_variance
art_76_9,18,Socially Sensitive,balanced,medium,9,0.36063102,2.8850482,0.015907945
art_76_9,19,Cautious Processor,balanced,medium,9,0.01320103,0.10560824,2.181892e-05
art_7_9,0,Stoic Regulator,suppressive,low,9,0.09267041,0.7413633,0.00040404365
art_7_9,1,Calm Reflective,suppressive,low,9,0.22155736,1.7724589,0.003802592
art_7_9,2,Detached Observer,suppressive,low,9,0.08281927,0.66255414,0.001348332
art_7_9,3,Rational Analyzer,suppressive,low,9,0.10649477,0.85195816,0.0009833295
art_7_9,4,Emotionally Volatile,reactive,high,9,0.53505754,4.2804604,0.021738233
art_7_9,5,Highly Sensitive,reactive,high,9,0.5476051,4.380841,0.0072520333
art_7_9,6,Easily Overwhelmed,reactive,high,9,0.36624187,2.929935,0.032291707
art_7_9,7,Impulsive Reactor,reactive,high,9,0.51311195,4.1048956,0.008055599
art_7_9,8,Optimistic Interpreter,positive,medium,9,0.97898334,7.8318667,0.08672677
art_7_9,9,Gratitude Focused,positive,medium,9,0.51461875,4.11695,0.009861428
art_7_9,10,Hope Oriented,positive,medium,9,0.895285,7.16228,0.06070568
art_7_9,11,Reward Seeker,positive,medium,9,0.17272532,1.3818026,0.003181349
art_7_9,12,Negative Anticipator,negative,medium,9,0.6997858,5.5982866,0.026391301
art_7_9,13,Critical Evaluator,negative,medium,9,0.40491605,3.2393284,0.0075461552
art_7_9,14,Self Demanding,negative,medium,9,0.30215237,2.417219,0.0072117206
art_7_9,15,Threat Aware,negative,medium,9,0.6191273,4.953018,0.015791576
art_7_9,16,Emotionally Balanced,balanced,medium,9,0.030743588,0.2459487,6.541896e-05
art_7_9,17,Empathy Driven,balanced,medium,9,0.49933293,3.9946635,0.0060740104
art_7_9,18,Socially Sensitive,balanced,medium,9,0.34519097,2.7615278,0.012486778
art_7_9,19,Cautious Processor,balanced,medium,9,0.014905326,0.11924261,4.6092595e-05
art_85_8,0,Stoic Regulator,suppressive,low,8,0.101525046,0.7106753,0.0002562057
art_85_8,1,Calm Reflective,suppressive,low,8,0.24088974,1.6862282,0.003347854
art_85_8,2,Detached Observer,suppressive,low,8,0.08760912,0.61326385,0.0013258407
art_85_8,3,Rational Analyzer,suppressive,low,8,0.11213397,0.7849378,0.00076068804
art_85_8,4,Emotionally Volatile,reactive,high,8,0.5736084,4.015259,0.017733684
art_85_8,5,Highly Sensitive,reactive,high,8,0.57417834,4.0192485,0.0056401393
art_85_8,6,Easily Overwhelmed,reactive,high,8,0.39593053,2.7715137,0.034780484
art_85_8,7,Impulsive Reactor,reactive,high,8,0.5425626,3.7979383,0.0051205694
art_85_8,8,Optimistic Interpreter,positive,medium,8,1.0279074,7.1953516,0.069272265
art_85_8,9,Gratitude Focused,positive,medium,8,0.5317138,3.7219965,0.0059588803
art_85_8,10,Hope Oriented,positive,medium,8,0.93524224,6.5466957,0.047130283
art_85_8,11,Reward Seeker,positive,medium,8,0.1833236,1.2832652,0.0026732176
art_85_8,12,Negative Anticipator,negative,medium,8,0.7276885,5.0938196,0.019157995
