persona_name,persona_group,persona_volatility,step_drift,var_drift,total_distance,alpha_p
Negative Anticipator,negative,medium,0.14415452,0.0017126262,1.0090816,0.98216563
Critical Evaluator,negative,medium,0.34835476,0.010084031,2.4384832,0.8635934
Self Demanding,negative,medium,0.3869144,0.012441881,2.7084007,0.8129467
Threat Aware,negative,medium,0.17094803,0.0024026372,1.1966362,0.97436404
Emotionally Balanced,balanced,medium,0.16917934,0.002296229,1.1842554,0.9524554
Empathy Driven,balanced,medium,0.43185943,0.015400038,3.023016,0.6808769
Socially Sensitive,balanced,medium,0.31828168,0.008422162,2.2279718,0.8621408
Cautious Processor,balanced,medium,0.21363978,0.0037557944,1.4954785,0.92540973
Stoic Regulator,suppressive,low,0.16254446,0.0021342414,1.1378112,0.9513876
Calm Reflective,suppressive,low,0.17441556,0.0024867707,1.2209089,0.9417706
Detached Observer,suppressive,low,0.13304769,0.001425935,0.9313338,0.9663441
Rational Analyzer,suppressive,low,0.101721525,0.0008426693,0.7120507,0.97745186
Emotionally Volatile,reactive,high,0.09090788,0.00053502136,0.63635516,0.110290706
Highly Sensitive,reactive,high,0.31158262,0.007872712,2.1810784,0.43941545
Easily Overwhelmed,reactive,high,0.035244405,4.3420834e-05,0.24671084,0.026550476
Impulsive Reactor,reactive,high,0.2995352,0.007282139,2.0967464,0.4433067
Optimistic Interpreter,positive,medium,0.12936,0.0013774706,0.9055201,0.9865302
Gratitude Focused,positive,medium,0.2913564,0.007014683,2.039495,0.8955416
Hope Oriented,positive,medium,0.21168809,0.0036293822,1.4818166,0.96155053
Reward Seeker,positive,medium,0.4269269,0.015124524,2.9884884,0.7574722
Negative Anticipator,negative,medium,0.14430471,0.0017168821,1.0101329,0.98216563
Critical Evaluator,negative,medium,0.34967163,0.010167396,2.4477015,0.8635934
Self Demanding,negative,medium,0.3885942,0.012561249,2.7201595,0.8129467
Threat Aware,negative,medium,0.1711968,0.0024107546,1.1983776,0.97436404
Emotionally Balanced,balanced,medium,0.16965796,0.0023106537,1.1876057,0.9524554
Empathy Driven,balanced,medium,0.43418694,0.0155871995,3.0393085,0.6808769
Socially Sensitive,balanced,medium,0.31959417,0.008498035,2.2371593,0.8621408
Cautious Processor,balanced,medium,0.21438047,0.0037839683,1.5006633,0.92540973
Stoic Regulator,suppressive,low,0.15733415,0.0031433385,1.4160073,0.9513876
Calm Reflective,suppressive,low,0.16808017,0.0036442517,1.5127215,0.9417706
Detached Observer,suppressive,low,0.12812796,0.0020574578,1.1531516,0.9663441
Rational Analyzer,suppressive,low,0.09696705,0.001192681,0.87270343,0.97745186
Emotionally Volatile,reactive,high,0.073950894,0.00045728657,0.66555804,0.110290706
Highly Sensitive,reactive,high,0.24419898,0.0069231773,2.1977909,0.43941545
Easily Overwhelmed,reactive,high,0.029900283,4.0372255e-05,0.26910254,0.026550476
Impulsive Reactor,reactive,high,0.23481563,0.00641298,2.1133406,0.4433067
Optimistic Interpreter,positive,medium,0.12569372,0.002048713,1.1312435,0.9865302
Gratitude Focused,positive,medium,0.2691497,0.009438101,2.4223473,0.8955416
Hope Oriented,positive,medium,0.19705255,0.004843653,1.773473,0.96155053
Reward Seeker,positive,medium,0.35746464,0.01645892,3.2171817,0.7574722
Negative Anticipator,negative,medium,0.13694496,0.0024335245,1.2325047,0.98216563
Critical Evaluator,negative,medium,0.3143202,0.012913634,2.8288817,0.8635934
Self Demanding,negative,medium,0.33648288,0.0147294495,3.028346,0.8129467
Threat Aware,negative,medium,0.15937026,0.0032627746,1.4343324,0.97436404
Emotionally Balanced,balanced,medium,0.16368884,0.0033705991,1.4731995,0.9524554
Empathy Driven,balanced,medium,0.35144374,0.015621941,3.1629937,0.6808769
Socially Sensitive,balanced,medium,0.28700605,0.010767102,2.5830545,0.8621408
Cautious Processor,balanced,medium,0.20356554,0.0053862846,1.8320899,0.92540973
Stoic Regulator,suppressive,low,0.15728043,0.0031341016,1.4155239,0.9513876
Calm Reflective,suppressive,low,0.1680196,0.0036326202,1.5121763,0.9417706
Detached Observer,suppressive,low,0.12809196,0.0020520585,1.1528276,0.9663441
Rational Analyzer,suppressive,low,0.096945904,0.0011898929,0.8725131,0.97745186
Emotionally Volatile,reactive,high,0.0696524,0.00044585264,0.6268716,0.110290706
Highly Sensitive,reactive,high,0.24343188,0.0068515847,2.190887,0.43941545
Easily Overwhelmed,reactive,high,0.030002799,3.7633592e-05,0.2700252,0.026550476
Impulsive Reactor,reactive,high,0.23410045,0.006345752,2.106904,0.4433067
Optimistic Interpreter,positive,medium,0.12571204,0.002047206,1.1314083,0.9865302
Gratitude Focused,positive,medium,0.2690398,0.009402299,2.4213583,0.8955416
Hope Oriented,positive,medium,0.19698769,0.0048315907,1.7728893,0.96155053
Reward Seeker,positive,medium,0.35756186,0.01637046,3.2180567,0.7574722
Negative Anticipator,negative,medium,0.13694336,0.0024304837,1.2324902,0.98216563
Critical Evaluator,negative,medium,0.31421545,0.012859635,2.827939,0.8635934
Self Demanding,negative,medium,0.33646113,0.014658158,3.02815,0.8129467
Threat Aware,negative,medium,0.15933956,0.0032565687,1.434056,0.97436404
Emotionally Balanced,balanced,medium,0.1636313,0.003360882,1.4726818,0.9524554
Empathy Driven,balanced,medium,0.3517517,0.015523135,3.1657653,0.6808769
Socially Sensitive,balanced,medium,0.2869286,0.010719561,2.5823574,0.8621408
Cautious Processor,balanced,medium,0.20348719,0.0053677424,1.8313847,0.92540973
Stoic Regulator,suppressive,low,0.15666151,0.0031167674,1.4099536,0.9513876
Calm Reflective,suppressive,low,0.16732769,0.0036122806,1.5059491,0.9417706
Detached Observer,suppressive,low,0.12761775,0.0020409338,1.1485597,0.9663441
Rational Analyzer,suppressive,low,0.09660389,0.0011836505,0.869435,0.97745186
Emotionally Volatile,reactive,high,0.067639105,0.00043333185,0.60875195,0.110290706
Highly Sensitive,reactive,high,0.24188203,0.0068468396,2.1769383,0.43941545
Easily Overwhelmed,reactive,high,0.023860674,3.3465116e-05,0.21474607,0.026550476
Impulsive Reactor,reactive,high,0.23255096,0.00634034,2.0929587,0.4433067
Optimistic Interpreter,positive,medium,0.125442,0.0020407867,1.128978,0.9865302
Gratitude Focused,positive,medium,0.26808384,0.009364163,2.4127545,0.8955416
Hope Oriented,positive,medium,0.19644831,0.0048129708,1.7680348,0.96155053
Reward Seeker,positive,medium,0.3563546,0.01634351,3.2071912,0.7574722
Negative Anticipator,negative,medium,0.13662636,0.002422358,1.2296373,0.98216563
Critical Evaluator,negative,medium,0.31315628,0.012817298,2.8184066,0.8635934
Self Demanding,negative,medium,0.3353045,0.014620539,3.0177405,0.8129467
Threat Aware,negative,medium,0.15893677,0.003244826,1.4304309,0.97436404
Emotionally Balanced,balanced,medium,0.1630189,0.003343098,1.4671701,0.9524554
Empathy Driven,balanced,medium,0.35048762,0.015512163,3.1543887,0.6808769
Socially Sensitive,balanced,medium,0.28585944,0.010679772,2.5727348,0.8621408
Cautious Processor,balanced,medium,0.20268236,0.005340452,1.8241413,0.92540973
Stoic Regulator,suppressive,low,0.16272496,0.002137617,1.1390747,0.9513876
Calm Reflective,suppressive,low,0.1746315,0.0024909603,1.2224206,0.9417706
Detached Observer,suppressive,low,0.13317333,0.0014280044,0.9322133,0.9663441
Rational Analyzer,suppressive,low,0.101806514,0.0008437895,0.7126456,0.97745186
Emotionally Volatile,reactive,high,0.088247165,0.00055366615,0.61773014,0.110290706
Highly Sensitive,reactive,high,0.31190774,0.007920057,2.1833541,0.43941545
